従来手法の総ピクセル数,提案手法の総ピクセル数,従来手法の総ピクセル数-提案手法の総ピクセル数
24155,22941,1214
24336,23104,1232
24135,22917,1218
24263,23034,1229
24293,23045,1248
24320,23085,1235
24319,23081,1238
24360,23116,1244
24281,23033,1248
24371,23125,1246
24352,23086,1266
24354,23098,1256
24338,23083,1255
24638,23361,1277
24536,23269,1267
24863,23578,1285
25193,23841,1352
25771,24382,1389
25713,24337,1376
25850,24469,1381
25782,24415,1367
25986,24585,1401
25966,24574,1392
25793,24426,1367
25709,24355,1354
25699,24341,1358
25222,23908,1314
25204,23858,1346
25091,23747,1344
24897,23548,1349
24936,23580,1356
25260,23884,1376
25594,24174,1420
26362,24813,1549
26333,24772,1561
26238,24669,1569
26262,24703,1559
26470,24880,1590
26195,24614,1581
26391,24824,1567
26416,24851,1565
26366,24803,1563
26252,24684,1568
26389,24835,1554
26200,24654,1546
26257,24711,1546
26202,24675,1527
25972,24471,1501
25936,24457,1479
25970,24494,1476
25811,24308,1503
26013,24511,1502
26075,24599,1476
26361,24820,1541
26458,24946,1512
26608,25091,1517
26404,24924,1480
26448,24969,1479
26347,24893,1454
26185,24726,1459
25975,24533,1442
26204,24773,1431
25710,24307,1403
25592,24181,1411
25187,23796,1391
24507,23148,1359
23381,22075,1306
22691,21439,1252
20960,19783,1177
19253,18254,999
18351,17497,854
16268,15816,452
15190,14735,455
14890,14405,485
13986,13591,395
13725,13203,522
13298,12773,525
12692,12013,679
11070,10337,733
10369,9661,708
7640,7038,602
4726,4266,460
2708,2366,342
260,133,127
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
311,311,0
582,582,0
484,484,0
1090,1090,0
1103,1103,0
1561,1561,0
1238,1238,0
900,900,0
401,401,0
660,660,0
306,246,60
490,422,68
301,159,142
360,150,210
375,157,218
433,166,267
299,34,265
280,48,232
242,33,209
340,37,303
560,79,481
1163,405,758
1522,599,923
2264,1113,1151
3395,1903,1492
4032,2385,1647
5361,3790,1571
6915,5042,1873
7574,5672,1902
9311,7312,1999
10892,8569,2323
11965,9284,2681
13970,10647,3323
15985,12042,3943
17123,13014,4109
20442,15539,4903
23487,17844,5643
24814,18768,6046
27344,20070,7274
29045,20432,8613
28761,20021,8740
26678,19333,7345
25475,19104,6371
25265,18953,6312
